(x[0],y[0]) = (   1.7828034114,   1.5365636423 )  -31.3477646691
(x[1],y[1]) = (   1.1062550008,   2.1814052820 )  -30.6103500435
(x[2],y[2]) = (   0.7585346289,   2.0398405045 )  -30.5272252693
(x[0],y[0]) = (   1.7828034114,   1.5365636423 )  -31.3477646691
(x[1],y[1]) = (   1.1015319175,   1.9494124833 )  -31.1017043420
(x[2],y[2]) = (   1.1062550008,   2.1814052820 )  -30.6103500435
(x[0],y[0]) = (   1.7828034114,   1.5365636423 )  -31.3477646691
(x[1],y[1]) = (   1.7780803281,   1.3045708437 )  -31.1466631967
(x[2],y[2]) = (   1.1015319175,   1.9494124833 )  -31.1017043420
(x[0],y[0]) = (   1.7828034114,   1.5365636423 )  -31.3477646691
(x[1],y[1]) = (   1.4409868936,   1.6849898632 )  -31.2448359029
(x[2],y[2]) = (   1.7780803281,   1.3045708437 )  -31.1466631967
(x[0],y[0]) = (   1.7828034114,   1.5365636423 )  -31.3477646691
(x[1],y[1]) = (   1.6949877403,   1.4576737982 )  -31.3053182209
(x[2],y[2]) = (   1.4409868936,   1.6849898632 )  -31.2448359029
(x[0],y[0]) = (   1.5899412347,   1.5910542917 )  -31.3584666254
(x[1],y[1]) = (   1.7828034114,   1.5365636423 )  -31.3477646691
(x[2],y[2]) = (   1.6949877403,   1.4576737982 )  -31.3053182209
(x[0],y[0]) = (   1.6820646145,   1.6168765514 )  -31.4010737347
(x[1],y[1]) = (   1.5899412347,   1.5910542917 )  -31.3584666254
(x[2],y[2]) = (   1.7828034114,   1.5365636423 )  -31.3477646691
(x[0],y[0]) = (   1.7094031680,   1.5702645319 )  -31.4089544003
(x[1],y[1]) = (   1.6820646145,   1.6168765514 )  -31.4010737347
(x[2],y[2]) = (   1.5899412347,   1.5910542917 )  -31.3584666254
(x[0],y[0]) = (   1.6428375630,   1.5923124167 )  -31.4153687450
(x[1],y[1]) = (   1.7094031680,   1.5702645319 )  -31.4089544003
(x[2],y[2]) = (   1.6820646145,   1.6168765514 )  -31.4010737347
(x[0],y[0]) = (   1.6428375630,   1.5923124167 )  -31.4153687450
(x[1],y[1]) = (   1.6790924900,   1.5990825129 )  -31.4146606446
(x[2],y[2]) = (   1.7094031680,   1.5702645319 )  -31.4089544003
(x[0],y[0]) = (   1.6428375630,   1.5923124167 )  -31.4153687450
